stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,turbidity1_avg,comments
628,2019,215,1500,30.6299992,3,30.2900009,18.6599998,3,99.4000015,3,6.71000004,3,2.19400001,3,11.3100004,
628,2019,215,1530,30.9400005,3,30.2399998,18.6200008,3,106.400002,3,7.1500001,3,2.15300012,3,11.8699999,
628,2019,215,1600,31.1900005,3,30.2199993,18.5900002,3,110.099998,3,7.36999989,3,2.12299991,3,12.1000004,
628,2019,215,1630,31.1599998,3,30.2199993,18.5900002,3,109.300003,3,7.32000017,3,2.07999992,3,15.5600004,
628,2019,215,1700,31.1599998,3,30.2299995,18.6000004,3,108.800003,3,7.28999996,3,2.06200004,3,12.4300003,
628,2019,215,1730,31.1900005,3,30.2199993,18.6000004,3,110.699997,3,7.40999985,3,2.0539999,3,11.79,
628,2019,215,1800,31.2199993,3,30.2399998,18.6100006,3,107.800003,3,7.21000004,3,2.01799989,3,13.3100004,
628,2019,215,1830,29.9899998,3,29.3099995,18.0100002,3,118.900002,3,8.14999962,3,1.98800004,3,8.52999973,
628,2019,215,1900,29.6499996,3,29.7700005,18.3199997,3,103.300003,3,7.0999999,3,1.977,3,6.88000011,
628,2019,215,1930,29.6399994,3,30.3700008,18.7299995,3,96.5,3,6.61999989,3,1.96899998,3,6.86999989,
628,2019,215,2000,29.7199993,3,30.8299999,19.0499992,3,94.0999985,3,6.44000006,3,1.954,3,6.46999979,
628,2019,215,2030,29.6800003,3,30.9200001,19.1100006,3,94.6999969,3,6.48000002,3,1.95700002,3,6.15999985,
628,2019,215,2100,29.6800003,3,30.9500008,19.1299992,3,94.6999969,3,6.48000002,3,1.92999995,3,6.05000019,
628,2019,215,2130,29.6800003,3,30.9200001,19.1100006,3,95.9000015,3,6.55999994,3,1.92499995,3,5.36000013,
628,2019,215,2200,29.6599998,3,30.8799992,19.0799999,3,93.3000031,3,6.38999987,3,1.90999997,3,5.36000013,
628,2019,215,2230,29.5900002,3,28.9699993,17.7800007,3,93.5,3,6.46000004,3,1.90600002,3,3.99000001,
628,2019,215,2300,29.6299992,3,29.1499996,17.8999996,3,75.9700012,3,5.23999977,3,1.90900004,3,4.63999987,
628,2019,215,2330,29.5799999,3,29.3799992,18.0699997,3,67.5999985,3,4.65999985,3,1.91400003,3,4.38999987,
628,2019,215,2400,29.7099991,3,29.9099998,18.4200001,3,89.6999969,3,6.15999985,3,1.91600001,3,3.92000008,
628,2019,216,30,29.5699997,3,30.0799999,18.5300007,3,83,3,5.71000004,3,1.92400002,3,4.78999996,
628,2019,216,100,29.6200008,3,30.1100006,18.5599995,3,85.9000015,3,5.9000001,3,1.93299997,3,4.6500001,
628,2019,216,130,30.0200005,3,32.2900009,20.0300007,3,77.9700012,3,5.28000021,3,1.93900001,3,6.80999994,
628,2019,216,200,30.0799999,3,32.5200005,20.1900005,3,70.8600006,3,4.78999996,3,1.954,3,7.76000023,
628,2019,216,230,29.9699993,3,32.4700012,20.1599998,3,71.4700012,3,4.84000015,3,1.97000003,3,6.01000023,
628,2019,216,300,29.4500008,3,30.5499992,18.8600006,3,76.25,3,5.23999977,3,1.97500002,3,4.63000011,
628,2019,216,330,29.3600006,3,30.3999996,18.7600002,3,72.8099976,3,5.01999998,3,2.00500011,3,4.5999999,
628,2019,216,400,29.2800007,3,30.2999992,18.7000008,3,75.1600037,3,5.19000006,3,2.0079999,3,5.76000023,
628,2019,216,430,29.2299995,3,30.0900002,18.5499992,3,78.8099976,3,5.44999981,3,2.02200007,3,8.22999954,
628,2019,216,500,29.4799995,3,30.1200008,18.5699997,3,82.9000015,3,5.71000004,3,2.03699994,3,8.89000034,
628,2019,216,530,29.5499992,3,30.1599998,18.5900002,3,81.1999969,3,5.59000015,3,2.05599999,3,11.6800003,
628,2019,216,600,29.5699997,3,30.1700001,18.6000004,3,74.8700027,3,5.1500001,3,2.07399988,3,8.93000031,
628,2019,216,630,29.5499992,3,30.2000008,18.6200008,3,72.0299988,3,4.94999981,3,2.08200002,3,9.43999958,
628,2019,216,700,29.5400009,3,30.2000008,18.6200008,3,72.5599976,3,4.98999977,3,2.11100006,3,10.8800001,
628,2019,216,730,29.5799999,3,30.25,18.6499996,3,82.8000031,3,5.69000006,3,2.09599996,3,11.71,
628,2019,216,800,29.3400002,3,29.7700005,18.3299999,3,81.3000031,3,5.61999989,3,2.12299991,3,6.86000013,
628,2019,216,830,29.5599995,3,31.6299992,19.5900002,3,67.5199966,3,4.61999989,3,2.12400007,3,9.55000019,
628,2019,216,900,29.6399994,3,32.7999992,20.3999996,3,64.8000031,3,4.40999985,3,2.13400006,3,12.4700003,
628,2019,216,930,29.7299995,3,34.8800011,21.8299999,3,64.4100037,3,4.34000015,3,2.14599991,3,14.9700003,
628,2019,216,1000,29.7900009,3,34.5499992,21.5900002,3,62.1199989,3,4.19000006,3,2.16000009,3,23.6299992,
628,2019,216,1030,29.7999992,3,34.5400009,21.5900002,3,64.4800034,3,4.34000015,3,2.17600012,3,12.9700003,
628,2019,216,1100,29.8299999,3,36.5299988,22.9699993,3,58.3899994,3,3.9000001,3,2.17000008,3,21.2999992,
628,2019,216,1130,29.8799992,3,35.7799988,22.4500008,3,58.75,3,3.93000007,3,2.1789999,3,11.3000002,
628,2019,216,1200,29.8899994,3,36.7700005,23.1299992,3,64.0800018,3,4.26999998,3,2.19000006,3,19.8600006,
628,2019,216,1230,29.9899998,3,36.3499985,22.8400002,3,71.9300003,3,4.80000019,3,2.18199992,3,45.6300011,
628,2019,216,1300,30.2800007,3,32.8499985,20.4099998,3,82.5999985,3,5.55999994,3,2.1730001,3,12.8800001,
628,2019,216,1330,31.0900002,3,30.7000008,18.9300003,3,101.199997,3,6.76999998,3,2.17499995,3,11.8800001,
628,2019,216,1400,31.4400005,3,30.6399994,18.8700008,3,104.900002,3,6.98000002,3,2.18700004,3,10.9300003,
628,2019,216,1430,31.7600002,3,30.6399994,18.8600006,3,108.800003,3,7.19999981,3,2.17799997,3,12.8400002,
628,2019,216,1500,31.8400002,3,30.6299992,18.8600006,3,104.5,3,6.90999985,3,2.17199993,3,11.5600004,
628,2019,216,1530,31.7099991,3,30.2700005,18.6200008,3,101.800003,3,6.76000023,3,2.15899992,3,9.56999969,
628,2019,216,1600,31.8500004,3,30.6000004,18.8400002,3,102.800003,3,6.80000019,3,2.12199998,3,10.3699999,
628,2019,216,1630,31.8199997,3,30.6299992,18.8600006,3,107.400002,3,7.11000013,3,2.09800005,3,11.8299999,
628,2019,216,1700,31.9799995,3,30.6000004,18.8400002,3,110.5,3,7.28999996,3,2.102,3,9.75,
628,2019,216,1730,32.0200005,3,30.5900002,18.8299999,3,108.199997,3,7.13000011,3,2.07999992,3,11.5200005,
628,2019,216,1800,32.0400009,3,30.5900002,18.8199997,3,109.800003,3,7.23999977,3,2.05699992,3,10.0900002,
628,2019,216,1830,32.1199989,3,30.5799999,18.8199997,3,112.300003,3,7.38999987,3,2.02200007,3,10.5799999,
628,2019,216,1900,32.0400009,3,30.5599995,18.8099995,3,110.599998,3,7.28999996,3,2.04399991,3,10.75,
628,2019,216,1930,31.9899998,3,30.5599995,18.8099995,3,105.699997,3,6.98000002,3,2.00399995,3,9.85000038,
628,2019,216,2000,31.9699993,3,30.5400009,18.7900009,3,105.699997,3,6.98000002,3,2.01600003,3,12.0500002,
628,2019,216,2030,30.9300003,3,29.7900009,18.3099995,3,116.900002,3,7.86999989,3,1.98500001,3,6.17000008,
628,2019,216,2100,30.8500004,3,29.8500004,18.3500004,3,115.800003,3,7.80999994,3,1.99800003,3,6.44000006,
628,2019,216,2130,30.4200001,3,30.2900009,18.6599998,3,110.5,3,7.48999977,3,1.98099995,3,5.38000011,
628,2019,216,2200,30.4099998,3,30.6000004,18.8700008,3,95.0999985,3,6.42999983,3,1.98899996,3,4.03000021,
628,2019,216,2230,30.3999996,3,31.3899994,19.4099998,3,98.3000031,3,6.63000011,3,2.0079999,3,4.96000004,
628,2019,216,2300,30.4500008,3,33.5499992,20.8899994,3,84.0999985,3,5.61999989,3,2.0769999,3,4.96000004,
628,2019,216,2330,30.1900005,3,31.2600002,19.3299999,3,97.3000031,3,6.5999999,3,2.00900006,3,8.59000015,
628,2019,216,2400,30.1599998,3,31.2900009,19.3500004,3,93.8000031,3,6.36000013,3,2.00399995,3,10.4700003,
628,2019,217,30,30.2299995,3,31.4400005,19.4500008,3,92.0999985,3,6.23000002,3,1.97800004,3,7.30000019,
