yyyy,mm,dd,hr,min,sec,0mab,1mab,2mab,3mab,4mab,5mab,6mab,7mab,8mab,9mab,10mab,11mab,12mab,13mab,14mab,15mab,16mab,17mab,18mab,19mab,20mab
2005,1,3,18,0,0,17.914,17.66,17.237,16.918,16.262,15.544,15.157,15.101,15.737,16.152,16.346,16.25,16.154,15.709,15.778,15.691,15.568,15.568,15.568,15.568,15.568
2005,1,3,19,0,0,17.883,17.601,17.13,16.264,15.155,15.093,15.03,14.965,15.664,16.115,16.318,16.224,16.13,15.703,15.692,15.59,15.493,15.493,15.493,15.493,15.493
2005,1,3,20,0,0,17.823,17.461,16.857,15.835,15.043,15.011,14.986,14.967,15.735,16.161,16.246,16.104,15.963,15.69,15.722,15.649,15.56,15.56,15.56,15.56,15.56
2005,1,3,21,0,0,17.767,16.997,15.713,15.005,14.902,15.042,15.199,15.372,15.804,16.043,16.088,15.921,15.754,15.719,15.712,15.692,15.675,15.675,15.675,15.675,15.675
2005,1,3,22,0,0,17.655,16.673,15.037,14.91,14.985,15.222,15.442,15.643,15.896,15.955,15.819,15.75,15.681,15.789,15.722,15.748,15.807,15.807,15.807,15.807,15.807
2005,1,3,23,0,0,17.544,16.629,15.103,14.98,15.039,15.233,15.498,15.836,15.839,15.812,15.752,15.772,15.792,15.967,15.829,15.746,15.731,15.731,15.731,15.731,15.731
2005,1,4,0,0,0,17.405,16.601,15.262,15.133,15.16,15.361,15.545,15.711,15.757,15.729,15.627,15.788,15.95,15.978,15.897,15.787,15.717,15.717,15.717,15.717,15.717
2005,1,4,1,0,0,17.222,16.474,15.226,15.156,15.217,15.399,15.543,15.649,15.617,15.632,15.691,15.863,16.034,15.909,15.85,15.757,15.692,15.692,15.692,15.692,15.692
2005,1,4,2,0,0,17.06,16.383,15.256,15.122,15.207,15.38,15.516,15.614,15.554,15.591,15.723,15.843,15.963,15.861,15.793,15.733,15.708,15.708,15.708,15.708,15.708
2005,1,4,3,0,0,17.064,16.374,15.225,15.172,15.227,15.439,15.543,15.541,15.534,15.571,15.651,15.743,15.835,15.909,15.812,15.721,15.677,15.677,15.677,15.677,15.677
2005,1,4,4,0,0,17.09,16.508,15.54,15.211,15.295,15.501,15.644,15.726,15.676,15.619,15.555,15.687,15.819,15.811,15.749,15.691,15.663,15.663,15.663,15.663,15.663
2005,1,4,5,0,0,17.133,16.442,15.291,15.307,15.408,15.587,15.687,15.709,15.674,15.648,15.631,15.679,15.728,15.666,15.666,15.658,15.65,15.65,15.65,15.65,15.65
2005,1,4,6,0,0,16.993,16.354,15.291,15.346,15.384,15.536,15.647,15.717,15.683,15.649,15.615,15.624,15.633,15.645,15.667,15.665,15.652,15.652,15.652,15.652,15.652
2005,1,4,7,0,0,16.913,16.332,15.363,15.39,15.49,15.613,15.689,15.717,15.674,15.657,15.668,15.673,15.679,15.644,15.675,15.685,15.68,15.68,15.68,15.68,15.68
2005,1,4,8,0,0,16.816,16.267,15.353,15.424,15.544,15.673,15.749,15.772,15.697,15.672,15.698,15.689,15.679,15.652,15.691,15.708,15.706,15.706,15.706,15.706,15.706
2005,1,4,9,0,0,16.683,16.18,15.34,15.41,15.461,15.563,15.679,15.807,15.743,15.707,15.7,15.694,15.688,15.691,15.705,15.719,15.725,15.725,15.725,15.725,15.725
2005,1,4,10,0,0,16.665,16.193,15.406,15.392,15.441,15.503,15.583,15.68,15.753,15.757,15.694,15.698,15.702,15.709,15.707,15.721,15.736,15.736,15.736,15.736,15.736
2005,1,4,11,0,0,16.742,16.297,15.556,15.361,15.423,15.518,15.603,15.679,15.792,15.804,15.714,15.715,15.715,15.71,15.721,15.749,15.771,15.771,15.771,15.771,15.771
2005,1,4,12,0,0,16.73,16.313,15.619,15.405,15.412,15.526,15.623,15.703,15.768,15.781,15.742,15.733,15.723,15.721,15.74,15.739,15.728,15.728,15.728,15.728,15.728
